,Unnamed: 0,imdbid,year_x,rating,id,title,WikiID,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages (Freebase ID:name tuples),Movie countries (Freebase ID:name tuples),Movie genres (Freebase ID:name tuples),year_y,genres,Production Company
2777,3376,116040.0,1996,1,9725,Daylight,914988.0,914988,/m/03phtz,Daylight,1996-12-06,159212469.0,115.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01drsx"": ""Disaster"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/01jfsb"": ""Thriller""}",1996.0,"{'/m/01drsx': 'Disaster', '/m/03btsm8': 'Action/Adventure', '/m/02kdv5l': 'Action', '/m/01jfsb': 'Thriller'}",Davis Entertainment
2778,3377,115624.0,1996,1,9782,Barb Wire,4506211.0,4506211,/m/0c61rf,Barb Wire,1996-05-03,3793614.0,100.0,"{""/m/064_8sq"": ""French Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/0219x_"": ""Indie"", ""/m/04pbhw"": ""Superhero movie"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",1996.0,"{'/m/06n90': 'Science Fiction', '/m/0219x_': 'Indie', '/m/04pbhw': 'Superhero movie', '/m/03btsm8': 'Action/Adventure', '/m/01hmnh': 'Fantasy', '/m/02kdv5l': 'Action'}",PolyGram Filmed Entertainment
2779,3379,117039.0,1996,1,10042,Michael Collins,26609228.0,26609228,/m/0pv54,Michael Collins,1996-09-05,11092559.0,132.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/03rt9"": ""Ireland"", ""/m/07ssc"": ""United Kingdom""}","{""/m/017fp"": ""Biography"", ""/m/02qfv5d"": ""Political thriller"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/03bxz7"": ""Biographical film"", ""/m/03mqtr"": ""Political drama""}",1996.0,"{'/m/017fp': 'Biography', '/m/02qfv5d': 'Political thriller', '/m/0hj3mws': 'Biopic [feature]', '/m/07s9rl0': 'Drama', '/m/082gq': 'War film', '/m/03bxz7': 'Biographical film', '/m/03mqtr': 'Political drama'}",Warner Bros.
2780,3380,117331.0,1996,3,10098,"Phantom, The",5235481.0,5235481,/m/0d99k_,The Phantom,1996-06-07,17323326.0,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0chghy"": ""Australia""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure"", ""/m/04pbhw"": ""Superhero movie""}",1996.0,"{'/m/03btsm8': 'Action/Adventure', '/m/02kdv5l': 'Action', '/m/01hmnh': 'Fantasy', '/m/03k9fj': 'Adventure', '/m/04pbhw': 'Superhero movie'}",Paramount Pictures
2781,3382,115956.0,1996,1,10881,Courage Under Fire,235288.0,235288,/m/01j5ql,Courage Under Fire,1996-07-12,100860818.0,115.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/028v3"": ""Detective fiction"", ""/m/0vjs6"": ""Detective"", ""/m/0kpq_x"": ""Gulf War"", ""/m/082gq"": ""War film"", ""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama"", ""/m/02qfv5d"": ""Political thriller"", ""/m/03mqtr"": ""Political drama""}",1996.0,"{'/m/01jfsb': 'Thriller', '/m/0lsxr': 'Crime Fiction', '/m/028v3': 'Detective fiction', '/m/0vjs6': 'Detective', '/m/0kpq_x': 'Gulf War', '/m/082gq': 'War film', '/m/02n4kr': 'Mystery', '/m/07s9rl0': 'Drama', '/m/02qfv5d': 'Political thriller', '/m/03mqtr': 'Political drama'}",Davis Entertainment
2782,3383,116483.0,1996,0,10892,Happy Gilmore,400797.0,400797,/m/023vcd,Happy Gilmore,1996-02-16,41205099.0,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01z02hx"": ""Sports"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",1996.0,"{'/m/01z02hx': 'Sports', '/m/01z4y': 'Comedy', '/m/09q17': 'Slapstick'}",Robert Simonds Productions
2783,3384,118655.0,1997,2,5,Austin Powers: International Man of Mystery,151465.0,151465,/m/013q0p,Austin Powers: International Man of Mystery,1997-05-02,67683989.0,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}","{""/m/0gf28"": ""Parody"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/01hwc6"": ""Absurdism"", ""/m/0hj3nbs"": ""Master Criminal Films"", ""/m/01z4y"": ""Comedy"", ""/m/07s2s"": ""Time travel"", ""/m/02kdv5l"": ""Action"", ""/m/0bkbm"": ""Spy""}",1997.0,"{'/m/0gf28': 'Parody', '/m/0lsxr': 'Crime Fiction', '/m/01hwc6': 'Absurdism', '/m/0hj3nbs': 'Master Criminal Films', '/m/01z4y': 'Comedy', '/m/07s2s': 'Time travel', '/m/02kdv5l': 'Action', '/m/0bkbm': 'Spy'}",New Line Cinema
2784,3385,119116.0,1997,1,22,"Fifth Element, The",143809.0,143809,/m/0125xq,The Fifth Element,1997-05-07,263920180.0,127.0,"{""/m/06mp7"": ""Swedish Language"", ""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language""}","{""/m/0f8l9c"": ""France"", ""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure""}",1997.0,"{'/m/01jfsb': 'Thriller', '/m/06n90': 'Science Fiction', '/m/02kdv5l': 'Action', '/m/01hmnh': 'Fantasy', '/m/03k9fj': 'Adventure'}",Gaumont Film Company
2785,3386,119174.0,1997,1,68,"Game, The",3911312.0,3911312,/m/0b6ft5,The Game,1997-09-12,109423648.0,129.0,"{""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language"", ""/m/012w70"": ""Cantonese""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03k9fj"": ""Adventure"", ""/m/09blyk"": ""Psychological thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/0c3351"": ""Suspense"", ""/m/02kdv5l"": ""Action""}",1997.0,"{'/m/01jfsb': 'Thriller', '/m/03k9fj': 'Adventure', '/m/09blyk': 'Psychological thriller', '/m/02n4kr': 'Mystery', '/m/0c3351': 'Suspense', '/m/02kdv5l': 'Action'}",Universal Pictures
2786,3387,119731.0,1997,1,70,Murder at 1600,2709182.0,2709182,/m/07zcw5,Murder at 1600,1997-04-18,25804707.0,108.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/0j5nm"": ""Whodunit"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama"", ""/m/02qfv5d"": ""Political thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action"", ""/m/03mqtr"": ""Political drama""}",1997.0,"{'/m/0lsxr': 'Crime Fiction', '/m/01jfsb': 'Thriller', '/m/0j5nm': 'Whodunit', '/m/03btsm8': 'Action/Adventure', '/m/02n4kr': 'Mystery', '/m/07s9rl0': 'Drama', '/m/02qfv5d': 'Political thriller', '/m/02wtdps': 'Crime Thriller', '/m/02kdv5l': 'Action', '/m/03mqtr': 'Political drama'}",Regency Enterprises
2787,3388,119177.0,1997,1,77,Gattaca,42886.0,42886,/m/0bscw,Gattaca,1997-09-07,12532777.0,108.0,"{""/m/02jcw"": ""Esperanto Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0279xh5"": ""Future noir"", ""/m/07s9rl0"": ""Drama"", ""/m/02xh1"": ""Film noir"", ""/m/02l7c8"": ""Romance Film"", ""/m/026ny"": ""Dystopia""}",1997.0,"{'/m/01jfsb': 'Thriller', '/m/06n90': 'Science Fiction', '/m/0279xh5': 'Future noir', '/m/07s9rl0': 'Drama', '/m/02xh1': 'Film noir', '/m/02l7c8': 'Romance Film', '/m/026ny': 'Dystopia'}",Columbia Pictures
2788,3389,119654.0,1997,1,83,Men in Black,167599.0,167599,/m/016dj8,Men in Black,1997-07-01,589390539.0,97.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/0556j8"": ""Buddy film"", ""/m/01z4y"": ""Comedy""}",1997.0,"{'/m/03btsm8': 'Action/Adventure', '/m/06n90': 'Science Fiction', '/m/02kdv5l': 'Action', '/m/0556j8': 'Buddy film', '/m/01z4y': 'Comedy'}",Amblin Entertainment
2789,3391,120201.0,1997,3,107,Starship Troopers,203841.0,203841,/m/01cycq,Starship Troopers,1997-11-04,121214377.0,129.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/05mrx8"": ""Political satire"", ""/m/06nbt"": ""Satire"", ""/m/082gq"": ""War film"", ""/m/02kdv5l"": ""Action""}",1997.0,"{'/m/01jfsb': 'Thriller', '/m/0cq22f9': 'Action Thrillers', '/m/06n90': 'Science Fiction', '/m/03npn': 'Horror', '/m/03k9fj': 'Adventure', '/m/03btsm8': 'Action/Adventure', '/m/05mrx8': 'Political satire', '/m/06nbt': 'Satire', '/m/082gq': 'War film', '/m/02kdv5l': 'Action'}",Touchstone Pictures
2790,3392,118583.0,1997,3,297,Alien: Resurrection,213246.0,213246,/m/01f7gh,Alien: Resurrection,1997-11-06,161295658.0,116.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action""}",1997.0,"{'/m/01jfsb': 'Thriller', '/m/06n90': 'Science Fiction', '/m/02kdv5l': 'Action'}",Brandywine Productions
2791,3393,118883.0,1997,2,318,Conspiracy Theory,144161.0,144161,/m/0127ps,Conspiracy Theory,1997-08-07,136982834.0,135.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/0hj3mxr"": ""Chase Movie"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02n4kr"": ""Mystery"", ""/m/0c3351"": ""Suspense"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action""}",1997.0,"{'/m/0lsxr': 'Crime Fiction', '/m/01jfsb': 'Thriller', '/m/0cq22f9': 'Action Thrillers', '/m/0hj3mxr': 'Chase Movie', '/m/03btsm8': 'Action/Adventure', '/m/02n4kr': 'Mystery', '/m/0c3351': 'Suspense', '/m/02l7c8': 'Romance Film', '/m/02kdv5l': 'Action'}",Warner Bros.
2792,3394,119698.0,1997,3,326,Mononoke-hime,24653.0,24653,/m/0652f,Princess Mononoke,1997-07-12,,134.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/0jxy"": ""Anime"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure"", ""/m/0gw5n2f"": ""Japanese Movies""}",1997.0,"{'/m/0hj3n2k': 'Fantasy Adventure', '/m/0jxy': 'Anime', '/m/01hmnh': 'Fantasy', '/m/03k9fj': 'Adventure', '/m/0gw5n2f': 'Japanese Movies'}",Studio Ghibli
