,Production company,Wikipedia movie ID
0,,26044155
1,,1082508
2,,12170539
3,,12170539
4,Edison Studios,6431996
5,Edison Studios,6431996
6,Edison Studios,6431996
7,,644824
8,Edison Studios,32175981
9,Edison Studios,27773121
10,,6431647
11,,9999926
12,,9996498
13,Edison Studios,73372
14,Edison Studios,9623703
15,Edison Manufacturing Company,14601731
16,Edison Studios,1090697
17,Edison Studios,786716
18,,10094757
19,Edison Studios,10104497
20,Edison Studios,14264140
21,Edison Studios,14264140
22,,23135267
23,,10109752
24,Auguste and Louis Lumière,9419760
25,Edison Studios,8754949
26,,10126013
27,,10345445
28,,10331203
29,Star Film Company,4062042
30,Star Film Company,34562088
31,Gaumont Film Company,807258
32,Auguste and Louis Lumière,1431965
33,Auguste and Louis Lumière,11696927
34,Star Film Company,23804620
35,Star Film Company,26071595
36,Biograph Company,9119737
37,Edison Studios,12531485
38,,9119884
39,Star Film Company,36285028
40,,20951689
41,,12142456
42,,31885101
43,Edison Studios,73919
44,Star Film Company,9569532
45,Star Film Company,27693619
46,,142995
47,Vitagraph Studios,1081565
48,,19514976
49,Star Film Company,14567007
50,Vitagraph Studios,789992
51,,19236804
52,,23973848
53,,17860504
54,Vitagraph Studios,1498916
55,David W. Griffith Corp.,3333
56,,2561024
57,Triangle Film Corporation,189862
58,Famous Players Film Company,2826225
59,Mary Pickford Film Corporation,3344145
60,,76016
61,Famous Players-Lasky Corporation,14632340
62,,25731303
63,Centaur Film Company,4791224
64,,18964723
65,,14318882
66,,19493926
67,Douglas Fairbanks,5565908
68,Paramount Pictures,73380
69,Babelsberg Studio,173650
70,,16428005
71,,76638
72,United Artists Corporation,5925279
73,,1346905
74,Prana Film,82423
75,,5667662
76,,31280344
77,,6748163
78,Révillon Frères,21174
79,Universal Pictures,15852561
80,Hal Roach Studios,76313
81,,5016035
82,Fox Film Corporation,15435020
83,,6752639
84,Metro-Goldwyn-Mayer,2685258
85,,546663
86,United Artists Corporation,76385
87,,14193289
88,,4499305
89,Metro Pictures,76346
90,,3371111
91,Famous Players-Lasky Corporation,32176706
92,British Film Institute,33088785
93,Metro-Goldwyn-Mayer,73930
94,Universal Pictures,308930
95,Mosfilm,77865
96,United Artists Corporation,73882
97,,9021073
98,Pathé,3831825
99,,5697483
100,First National,2509613
101,Metro-Goldwyn-Mayer,73368
102,,4655863
103,Metro-Goldwyn-Mayer,9271112
104,Metro-Goldwyn-Mayer,2676497
105,,4321732
106,UFA,49696
107,Metro-Goldwyn-Mayer,3566585
108,20th Century Studios,61904
109,Paramount Pictures,5045608
110,,23470411
111,Mary Pickford Film Corporation,16426208
112,Paramount Pictures,61046
113,Warner Bros.,68145
114,Gainsborough Pictures,1619872
115,,457561
116,,1823165
117,United Artists Corporation,142780
118,Metro-Goldwyn-Mayer,5656505
119,,584014
120,Paramount Pictures,61047
121,,14305173
122,Columbia Pictures,5908853
123,Fox Film Corporation,17435717
124,Metro-Goldwyn-Mayer,15453790
125,Universal Pictures,8864659
126,Metro-Goldwyn-Mayer,928593
127,Paramount Pictures,73432
128,Metro-Goldwyn-Mayer,2237290
129,,161334
130,Paramount Pictures,1216093
131,,32896528
132,All-Ukrainian Photo-Cinema Administration,185564
133,Associated British Picture Corporation,1237381
134,,12973724
135,Metro-Goldwyn-Mayer,61182
136,UFA,1588930
137,Universal Pictures,4592959
138,Metro-Goldwyn-Mayer,8370506
139,Columbia Pictures,24469993
140,Paramount Pictures,74966
141,Metro-Goldwyn-Mayer,177741
142,,17951322
143,Associated British Picture Corporation,1623263
144,Paramount Pictures,45224
145,Nero-Film,66322
146,Warner Bros.,9545952
147,Universal Pictures,73488
148,,8371008
149,Metro-Goldwyn-Mayer,6538127
150,20th Century Studios,76375
151,,14288728
152,,7901981
153,Metro-Goldwyn-Mayer,3177256
154,Universal Pictures,1046559
155,Universal Pictures,1046559
156,Universal Pictures,1046559
157,Paramount Pictures,1230304
158,United Artists Corporation,73401
159,Paramount Pictures,61062
160,,35340704
161,Warner Bros.,76034
162,,2742956
163,,724551
164,First National,15272880
165,Associated British Picture Corporation,280976
166,,1623252
167,RKO Pictures,2410609
168,,28176057
169,Paramount Pictures,61052
170,Metro-Goldwyn-Mayer,61058
171,Warner Bros.,61070
172,Metro-Goldwyn-Mayer,44752
173,Paramount Pictures,1014242
174,,1610321
175,,2639712
176,Shochiku,4051128
177,RKO Pictures,7715240
178,Metro-Goldwyn-Mayer,73494
179,Paramount Pictures,5480364
180,Universal Pictures,2629975
181,Paramount Pictures,29163959
182,Chadwick Pictures Corporation,24142371
183,,859655
184,Paramount Pictures,61061
185,Warner Bros.,2779486
186,Paramount Pictures,74913
187,,76331
188,,1141361
189,Tiffany Pictures,14088330
190,RKO Pictures,1064260
191,,23419800
192,Columbia Pictures,3781605
193,Warner Bros.,73473
194,Metro-Goldwyn-Mayer,2513887
195,London Films,61074
196,RKO Pictures,16782
197,RKO Pictures,2175661
198,Paramount Pictures,62180
199,,6550108
200,Warner Bros.,840058
201,Paramount Pictures,73440
202,,26262913
203,Warner Bros.,2810604
204,First National,11570453
205,,18702162
206,Universal Pictures,1605299
207,Warner Bros.,2285254
208,Paramount Pictures,22110321
