,Production company,Wikipedia movie ID
209,Fox Film Corporation,3947300
210,Warner Bros.,24051596
211,Paramount Pictures,60155
212,Hal Roach Studios,361280
213,Columbia Pictures,44696
214,Paramount Pictures,3644661
215,Metro-Goldwyn-Mayer,8351040
216,United Artists Corporation,4578771
217,Paramount Pictures,6306820
218,RKO Pictures,8049233
219,RKO Pictures,7133888
220,RKO Pictures,12733257
221,,3402751
222,,23949470
223,,29164919
224,Metro-Goldwyn-Mayer,18692593
225,Gaumont-British Picture Corporation,2345042
226,Universal Pictures,4731866
227,Monogram Pictures,25235518
228,RKO Pictures,61501
229,Gaumont-British Picture Corporation,3724436
230,Metro-Goldwyn-Mayer,8164826
231,Metro-Goldwyn-Mayer,3992212
232,Metro-Goldwyn-Mayer,61494
233,RKO Pictures,12800555
234,Universal Pictures,4717823
235,Metro-Goldwyn-Mayer,75263
236,Universal Pictures,73375
237,,27280443
238,Metro-Goldwyn-Mayer,2310279
239,RKO Pictures,919005
240,Jim Henson Company Lot,74962
241,Warner Bros.,5641052
242,Metro-Goldwyn-Mayer,44218
243,Metro-Goldwyn-Mayer,3531556
244,Warner Bros.,560414
245,Columbia Pictures,61508
246,Metro-Goldwyn-Mayer,3680736
247,,6531454
248,,23994681
249,,6584379
250,Columbia Pictures,180912
251,Metro-Goldwyn-Mayer,44437
252,,25225453
253,Shochiku,24001036
254,Metro-Goldwyn-Mayer,8068462
255,,18076983
256,Metro-Goldwyn-Mayer,334649
257,Warner Bros.,14566842
258,Universal Pictures,74979
259,,247098
260,Metro-Goldwyn-Mayer,73498
261,,27997087
262,Samuel Goldwyn Productions,1482779
263,Gaumont Film Company,293623
264,RKO Pictures,4041420
265,RKO Pictures,61531
266,Samuel Goldwyn Productions,16113015
267,Metro-Goldwyn-Mayer,2361036
268,Hal Roach Studios,1224344
269,Columbia Pictures,61529
270,Selznick International Pictures,9285648
271,,7999587
272,Metro-Goldwyn-Mayer,14689013
273,The Walt Disney Company,76361
274,Metro-Goldwyn-Mayer,606121
275,Selznick International Pictures,1850265
276,Paramount Pictures,4333107
277,,23951630
278,Paris Filmes,3645367
279,Columbia Pictures,61522
280,Gaumont Film Company,9429
281,Warner Bros.,691156
282,,10373755
283,Warner Bros.,44210
284,20th Century Studios,14878446
285,Metro-Goldwyn-Mayer,4015188
286,RKO Pictures,3981967
287,Gainsborough Pictures,9404578
288,Columbia Pictures,4070671
289,Warner Bros.,13860081
290,Warner Bros.,1396988
291,Warner Bros.,11632165
292,Metro-Goldwyn-Mayer,740989
293,Monogram Pictures,17146070
294,Warner Bros.,62084
295,RKO Pictures,73376
296,Warner Bros.,62095
297,RKO Pictures,14255798
298,Warner Bros.,145621
299,Metro-Goldwyn-Mayer,561315
300,Metro-Goldwyn-Mayer,2804704
301,Warner Bros.,89272
302,Metro-Goldwyn-Mayer,19978736
303,United Artists Corporation,62122
304,Samuel Goldwyn Productions,3823100
305,Metro-Goldwyn-Mayer,1126798
306,Metro-Goldwyn-Mayer,62118
307,First National,1369204
308,Warner Bros.,62111
309,Warner Bros.,779774
310,20th Century Studios,839547
311,20th Century Studios,2371912
312,20th Century Studios,624314
313,Cosmopolitan Productions,20664798
314,Boris Morros,3987540
315,Metro-Goldwyn-Mayer,695522
316,,2109157
317,,17181033
318,Hal Roach Studios,62121
319,,202133
320,Metro-Goldwyn-Mayer,9112052
321,Universal Pictures,7906
322,,23913031
323,Columbia Pictures,62117
324,,3291478
325,,3963744
326,RKO Pictures,62115
327,RKO Pictures,6504325
328,Columbia Pictures,1903318
329,The Walt Disney Company,187010
330,Selznick International Pictures,1259785
331,London Films,3406838
332,Metro-Goldwyn-Mayer,1533733
333,Metro-Goldwyn-Mayer,4105119
334,Metro-Goldwyn-Mayer,1777992
335,,11635629
336,20th Century Studios,2372198
337,Warner Bros.,62687
338,Warner Bros.,172031
339,United Artists Corporation,3177319
340,,6551407
341,Warner Bros.,5367128
342,Columbia Pictures,74018
343,Warner Bros.,936234
344,Charles Chaplin Film Corporation,62689
345,Metro-Goldwyn-Mayer,2649257
346,RKO Pictures,17782099
347,,15492765
348,RKO Pictures,12450050
349,Metro-Goldwyn-Mayer,62592
350,Walt Disney Pictures,73460
351,British National Films Company,2279610
352,Walter Wanger Production,62688
353,Metro-Goldwyn-Mayer,76353
354,Warner Bros.,74856
355,Metro-Goldwyn-Mayer,8366729
356,Arnold Pressburger Films,1563948
357,Warner Bros.,4593958
358,RKO Pictures,5224
359,RKO Pictures,5224
360,The Walt Disney Company,172299
361,RKO Pictures,16767019
362,Paramount Pictures,74858
363,RKO Pictures,1364299
364,Fleischer Studios,1624054
365,Warner Bros.,560449
366,Universal Pictures,927058
367,,10444367
368,,1273501
369,Universal Pictures,3933604
370,,7114779
371,,2462689
372,Monogram Pictures,27997713
373,Columbia Pictures,10872789
374,RKO Pictures,74984
375,20th Century Studios,3904503
376,20th Century Studios,4837038
377,The Walt Disney Company,9012262
378,Monogram Pictures,6675128
379,Samuel Goldwyn Productions,180991
380,Paramount Pictures,3990824
381,Warner Bros.,180993
382,Warner Bros.,57585
383,RKO Pictures,3509771
384,The Walt Disney Company,683122
385,,16791614
386,Metro-Goldwyn-Mayer,6430372
387,,25631018
388,RKO Pictures,1056686
389,,6528803
390,,30121264
391,20th Century Studios,3182458
392,Warner Bros.,14509075
393,Metro-Goldwyn-Mayer,76641
394,Universal Pictures,11350697
395,Universal Pictures,1576720
396,Universal Pictures,1576720
397,Metro-Goldwyn-Mayer,4836948
398,The Walt Disney Company,76628
399,,3906643
400,,1954198
401,Warner Bros.,7237677
402,Warner Bros. Pictures,77674
403,Metro-Goldwyn-Mayer,19015646
404,RKO Pictures,2111318
405,Columbia Pictures,1364445
406,20th Century Studios,1763834
407,RKO Pictures,3334667
408,,3340222
409,Powell and Pressburger,960657
410,Continental Films,3653768
411,Universal Pictures,76339
412,Toho,477031
413,,1430055
414,20th Century Studios,75268
415,Paramount Pictures,1482867
416,20th Century Studios,2648856
417,Columbia Pictures,77665
418,RKO Pictures,2910952
419,,1261599
420,,12545571
421,20th Century Studios,77653
422,Warner Bros.,787704
423,Paramount Pictures,73438
424,Warner Bros. Pictures,181329
425,Metro-Goldwyn-Mayer,74942
426,Paramount Pictures,3533153
427,SF Studios,12591488
428,RKO Pictures,1613865
429,20th Century Studios,74871
430,Columbia Pictures,2569219
431,Selznick International Pictures,77685
432,Warner Bros.,1971307
433,Metro-Goldwyn-Mayer,4766483
434,Toho,1746403
435,20th Century Studios,264869
436,The Walt Disney Company,76629
437,,31434689
438,,167303
439,Paramount Pictures,7675727
440,,18848055
441,Warner Bros.,4995581
442,,3847881
443,,70508
444,,12706080
445,RKO Pictures,10175052
446,RKO Pictures,1684124
447,Warner Bros.,4134701
448,Paramount Pictures,42294
449,,73427
450,Selznick International Pictures,80488
451,Minerva Film,2012056
452,,146908
453,Pathé,754810
454,Metro-Goldwyn-Mayer,25060389
455,Universal Pictures,11125917
456,Metro-Goldwyn-Mayer,79700
457,Metro-Goldwyn-Mayer,144831
458,Monogram Pictures,25769021
459,Ealing Studios,1129299
460,Gainsborough Pictures,822146
461,20th Century Studios,181353
462,Warner Bros.,15814364
463,RKO Pictures,79729
464,RKO Pictures,255198
465,Metro-Goldwyn-Mayer,1232216
466,Warner Bros.,1645598
467,Metro-Goldwyn-Mayer,5429235
468,Powell and Pressburger,553272
469,,1226363
470,Warner Bros.,7725707
471,Warner Bros.,18404394
472,,26178726
473,Columbia Pictures,149789
474,Columbia Pictures,1673949
475,United Artists Corporation,26167035
476,20th Century Studios,74978
477,Samuel Goldwyn Productions,42159
478,Universal Pictures,3524282
479,Vanguard Films,183740
480,,2405186
481,The Walt Disney Company,61141
482,Universal Pictures,3591767
483,20th Century Studios,1563877
484,RKO Pictures,1634305
485,The Walt Disney Company,1602289
486,Cineguild Productions,2257358
487,Universal Pictures,5023581
488,,46757
489,Two Cities Films,1192675
490,Metro-Goldwyn-Mayer,11002380
491,20th Century Studios,23527179
492,Universal Pictures,10387685
493,Vanguard Films,287404
494,20th Century Studios,2297089
495,Columbia Pictures,33509132
496,RKO Pictures,42106
497,,3673598
498,RKO Pictures,75266
499,The Enterprise Studios,1506586
500,United Artists Corporation,14757585
501,,26178744
502,Columbia Pictures,1919203
503,20th Century Studios,80523
504,Warner Bros.,1668866
505,,545615
506,,76297
507,Pinewood Studios,60169
508,Two Cities Films,80530
509,London Films,19664801
510,RKO Pictures,13938940
511,,7364229
512,,11925733
513,Metro-Goldwyn-Mayer,918091
514,Transatlantic Pictures,23477436
515,20th Century Studios,80538
516,,21772949
517,,19407690
518,RKO Pictures,616554
519,Warner Bros.,11088642
520,Metro-Goldwyn-Mayer,2309020
521,20th Century Studios,1611590
522,RKO Pictures,1348418
523,,642744
524,The Walt Disney Company,1614254
525,,1966825
526,Universal Pictures,1981790
527,Warner Bros.,1397142
528,Associated British Picture Corporation,10972714
529,Wenhua Film Company,6455349
530,London Films,71473
531,Metro-Goldwyn-Mayer,3497579
532,Metro-Goldwyn-Mayer,12816415
533,20th Century Studios,403016
534,The Enterprise Studios,6028449
535,RKO Pictures,1570532
536,Metro-Goldwyn-Mayer,2175640
537,RKO Pictures,1621292
538,Shochiku,846329
539,20th Century Studios,80923
540,Ealing Studios,350908
541,Warner Bros.,5274232
542,Paramount Pictures,73970
543,,5570152
544,The Walt Disney Company,1614261
545,Transatlantic Pictures,1584981
546,,30863517
547,Shochiku,33033757
548,,2565385
549,20th Century Studios,183855
550,20th Century Studios,41881
551,Paramount Pictures,76368
552,Paramount Pictures,76368
553,The Walt Disney Company,399402
554,Kadokawa Pictures,187603
555,Metro-Goldwyn-Mayer,3151378
556,Metro-Goldwyn-Mayer,894179
557,Universal Pictures,170936
558,,215738
559,Columbia Pictures,2066293
560,Columbia Pictures,812818
561,,8129295
562,20th Century Studios,1618936
563,United Artists Corporation,238846
564,Warner Bros.,295973
565,Shochiku,2553318
566,,13118358
567,Warner Bros.,26724532
568,RKO Pictures,14620261
569,Warner Bros.,187086
570,20th Century Studios,1611941
571,United Artists Corporation,73937
572,Paramount Pictures,1638112
573,Warner Bros.,261107
574,The Walt Disney Company,769066
575,Horizon Pictures,68079
576,20th Century Studios,73422
577,Warner Bros.,3367826
578,Metro-Goldwyn-Mayer,16885650
579,Metro-Goldwyn-Mayer,1587300
580,,1040632
581,RKO Pictures,76387
582,,10748976
583,,28463749
584,Metro-Goldwyn-Mayer,154790
585,Metro-Goldwyn-Mayer,3188242
586,Metro-Goldwyn-Mayer,14583360
587,Shochiku,1432855
588,,6871187
589,Metro-Goldwyn-Mayer,1883157
590,,4061041
591,RKO Pictures,16657224
592,,21859894
593,United Artists Corporation,74011
594,Argosy Pictures,70428
595,RKO Pictures,2194915
596,StudioCanal,1039384
597,United Artists Corporation,583273
598,20th Century Studios,11253233
599,Toho,714228
600,Metro-Goldwyn-Mayer,156628
601,Paramount Pictures,42137
602,,17124409
603,The Walt Disney Company,723582
604,London Films,2072768
605,Metro-Goldwyn-Mayer,5465083
606,Metro-Goldwyn-Mayer,2557423
607,The Walt Disney Company,982199
608,Vera Films,447074
609,Paramount Pictures,76310
610,Metro-Goldwyn-Mayer,187636
611,Shochiku,846336
612,Metro-Goldwyn-Mayer,73366
613,Paramount Pictures,156641
614,Paramount Pictures,25045707
615,Warner Bros.,1148228
616,20th Century Studios,418598
617,Ealing Studios,1401912
618,Columbia Pictures,7074438
619,Columbia Pictures,7105919
620,Paramount Pictures,76351
621,,1853570
622,Columbia Pictures,42293
623,RKO Pictures,74028
624,Warner Bros.,1093364
625,Columbia Pictures,1564113
626,20th Century Studios,911882
627,,543517
628,20th Century Studios,905530
629,Kadokawa Pictures,1975933
630,SF Studios,4838538
631,,13154
632,Columbia Pictures,773327
633,Warner Bros.,894309
634,,1539559
635,Stanley Kramer Productions,1314961
636,Universal Pictures,2009711
637,,9756837
638,Warner Bros.,961796
639,RKO Pictures,14620828
640,,5097084
641,,21606161
642,,12764922
643,Cino Del Duca,3654148
644,Metro-Goldwyn-Mayer,60174
645,Paramount Pictures,2817162
646,Republic Pictures,1352995
647,Columbia Pictures,42361
648,The Walt Disney Company,5516824
649,Paramount Pictures,74577
650,Warner Bros.,605676
651,Paramount Pictures,1356971
652,,1094516
653,Warner Bros.,77223
654,Toho,31371
655,Warner Bros.,3450570
656,Metro-Goldwyn-Mayer,1591874
657,,11784534
658,Universal Pictures,1809672
659,20th Century Studios,92539
660,Universal Pictures,72317
661,Lux Film,6640990
662,,76325
663,Toho,12004
664,Halas and Batchelor,6494145
665,,36356137
666,Otto Preminger Film,10554740
667,,18679622
668,,2669274
669,Columbia Pictures,68047
670,Lux Film,10738117
671,Paramount Pictures,239009
672,,75264
673,Walt Disney Animation Studios,286828
674,20th Century Studios,3037303
675,,1299974
676,Ealing Studios,69625
677,Samuel Goldwyn Productions,6733074
678,Vera Films,152749
679,Associated British Picture Corporation,170194
680,Warner Bros.,76040
681,,407293
682,,1564174
683,Pathé,1981903
684,,5035
685,Universal Pictures,4788277
686,Hecht-Hill-Lancaster Productions,13609396
687,RKO Pictures,8969928
688,20th Century Studios,763753
689,,190393
690,Government of West Bengal,669691
691,Toho,570279
692,Universal Pictures,876516
693,,24066535
694,,25047588
695,Paramount Pictures,579127
696,,18580314
697,,12710627
698,Universal Pictures,68108
699,Metro-Goldwyn-Mayer,161452
700,,1345780
701,,31609296
702,Warner Bros.,76335
703,Warner Bros.,7657211
704,20th Century Studios,4015886
705,,1936491
706,Warner Bros.,1582683
707,Metro-Goldwyn-Mayer,54999
708,,11361026
709,Monogram Pictures,74394
710,,483727
711,Paramount Pictures,3840504
712,20th Century Studios,17933239
713,Paramount Pictures,76383
714,,564966
715,,7230206
716,,6015713
717,20th Century Studios,561934
718,,282964
719,,1267738
720,Metro-Goldwyn-Mayer,255194
721,Paramount Pictures,2345044
722,,24191870
723,,12510655
724,,14356448
725,,1672187
726,,190416
727,,3127366
728,20th Century Studios,670445
729,,92605
730,20th Century Studios,20004625
731,20th Century Studios,165106
732,Mosfilm,2543557
733,Universal Pictures,30086
734,Bryna Productions,23255
735,,1755675
736,20th Century Studios,193845
737,Paramount Pictures,472870
738,,1721414
739,,1035706
740,20th Century Studios,1167186
741,,176545
742,,2099943
743,Hecht-Hill-Lancaster Productions,76371
744,,13024213
745,20th Century Studios,193847
746,Warner Bros.,92596
747,Universal Pictures,13503537
748,Horizon Pictures,42856
749,,1997332
750,20th Century Studios,884742
751,Warner Bros.,2019404
752,,3810062
753,United Artists Corporation,92608
754,RKO Pictures,3566967
755,20th Century Studios,13248713
756,,6332837
757,Toho,102580
758,,25587718
759,,9602648
760,,1306698
761,,878974
762,Columbia Pictures,29900532
763,Paramount Pictures,76617
764,,10663891
765,Bryna Productions,5295514
766,20th Century Studios,553101
767,Lux Film,10133485
768,Hammer Film Productions,651538
769,,2923504
770,,5671197
771,Gaumont Film Company,1446009
772,Universal Pictures,63504
773,Metro-Goldwyn-Mayer,1740284
774,Stanley Kramer Productions,92642
775,Warner Bros.,9597495
776,20th Century Studios,11073939
777,,1970527
778,,4606109
779,20th Century Studios,349874
780,Metro-Goldwyn-Mayer,3511234
781,Tempean Films,4143552
782,Toho,270759
783,United Artists Corporation,896634
784,,11380272
785,Walter Wanger Production,193854
786,,5601645
787,,12883645
788,Les Films du Carrosse,202140
789,The Walt Disney Company,2287636
790,The Walt Disney Company,2287636
791,Metro-Goldwyn-Mayer,1343342
792,20th Century Studios,567508
793,The Walt Disney Company,146709
794,The Mirisch Company,76366
795,Universal Pictures,4731909
796,Metro-Goldwyn-Mayer,73412
797,,5443343
798,,2293612
799,Dino De Laurentiis Cinematografica,10460270
800,,4333681
801,Columbia Pictures,92684
802,,628843
803,,6694508
804,,2034460
805,Columbia Pictures,1057284
806,Toho,5083422
807,,1471772
808,Warner Bros.,81100
809,Universal Pictures,193862
810,,5269245
811,Mosfilm,1079824
812,,1811784
813,,339526
814,United Artists Corporation,31556
815,Universal Pictures,166813
816,United Artists Corporation,22653289
817,The Mirisch Company,43849
818,Otto Preminger Film,1335380
819,Shochiku,10686800
820,,3949045
821,,2483209
822,,3644361
823,Shintōhō,5799733
824,,2345652
825,,4791264
826,Rank Organisation,18918743
827,20th Century Studios,26178888
828,SF Studios,1411283
829,,165379
830,Pathé,557036
831,Compagnia Cinematografica Champion,193882
832,,413949
833,Titanus,3644789
834,Hammer Film Productions,2093556
835,Pierre Braunberger,1647985
836,Associated British Picture Corporation,2413074
837,Rank Organisation,16227015
838,DEFA,10899890
839,,2821933
840,Toho,875637
841,,26338494
842,,1720953
843,,11943512
844,,1710652
845,,985100
846,,7376319
847,Toho,312498
848,,14690165
849,,51906
850,Columbia Pictures,5055826
851,Columbia Pictures,13273342
852,,787058
853,Seven Arts Productions,1134155
854,20th Century Studios,9309429
855,The Mirisch Company,660343
856,United Artists Corporation,4608223
857,,2028297
858,,935892
859,United Artists Corporation,6815785
860,Warner Bros.,206721
861,Woodfall Film Productions,9326561
862,Walt Disney Pictures,31176
863,Columbia Pictures,1676837
864,20th Century Studios,26244289
865,,6816597
866,,1644858
867,Columbia Pictures,6984559
868,Hammer Film Productions,2093581
869,,22076195
870,,3073220
871,SF Studios,1836615
872,,1899307
873,,19174558
874,,7195808
875,Samuel Bronston Productions,1353277
876,,8804073
877,,11275640
878,,24462484
879,20th Century Studios,1711622
880,,2158246
881,Horizon Pictures,43452
882,Seven Arts Productions,1917925
883,Seven Arts Productions,1488066
884,Universal Pictures,4607980
885,,5832380
886,,58147
887,,4084601
888,Warner Bros.,4845241
889,,1100688
890,,3644380
891,Warner Bros.,6665962
892,,3104438
893,,210216
894,,18230
895,,2313158
896,Eon Productions,6446053
897,United Artists Corporation,11324389
898,Toho,11988
899,Toho,11988
900,,1955767
901,,5870858
902,Vides Cinematografica,11490601
903,,12594852
904,Columbia Pictures,15886019
905,,1170181
906,20th Century Studios,1343139
907,,914479
908,,31509012
909,,31509012
910,,2642594
911,,7301722
912,The Mirisch Company,1747266
913,The Mirisch Company,1751093
914,,26378018
915,Metro-Goldwyn-Mayer,5980263
916,The Mirisch Company,181229
917,The Mirisch Company,210219
918,Samuel Bronston Productions,962502
919,Les films du losange,5216204
920,Stanley Donen Films,899442
921,Two Arts Ltd.,7696753
922,Monogram Pictures,76349
923,Universal Pictures,304428
924,Orion Pictures,2920404
925,,3695000
926,,1109777
927,Columbia Pictures,16358705
928,The Walt Disney Company,3650653
929,,9881821
930,Metro-Goldwyn-Mayer,950929
931,Hammer Film Productions,2091700
932,The Walt Disney Company,3054601
933,,3815899
934,Woodfall Film Productions,97732
935,Eon Productions,6446071
936,American International Pictures,896823
937,20th Century Studios,2920843
938,,4549625
939,,518687
940,Toho,3924766
941,Associated British Picture Corporation,1357923
942,Elstree Studios,1086034
943,,2492199
944,Calgary Ltd.,22591470
945,20th Century Studios,4954774
946,,19419753
947,Hawk Films,8695
948,Walt Disney Pictures,77856
949,,1227422
950,Universal Pictures,7373179
951,,878670
952,Warwick Films,1975043
953,Warner Bros.,4836072
954,,932864
955,Metro-Goldwyn-Mayer,1888433
956,,210229
957,20th Century Studios,1591973
958,,145640
959,,2854839
960,Columbia Pictures,123464
961,Metro-Goldwyn-Mayer,985064
962,Eon Productions,6322029
963,Warner Bros.,8206306
964,,145445
965,API,3947408
966,,1832104
967,United Artists Corporation,1483207
968,Toho,570263
969,,733657
970,Metro-Goldwyn-Mayer,210231
971,,1833819
972,Universal Pictures,264851
973,The Mirisch Company,856733
974,,26096490
975,Nikkatsu,3654479
976,,15579410
977,Lux Film,5216707
978,American International Pictures,5804666
979,,12561211
980,,3644720
981,,537101
982,Universal Pictures,2001498
983,20th Century Studios,4836239
984,Safa Palatino Studios,1152156
985,,1001142
986,,2175456
987,Eon Productions,6152265
988,The Walt Disney Company,1204699
989,Rank Organisation,9378574
990,Athos Films,143952
991,Constantin Film,442300
992,,5667453
993,,9587551
994,Warner Bros.,1591979
995,,97740
996,,773501
997,,19876240
998,Metro-Goldwyn-Mayer,97758
999,,1338721
1000,Toho,570258
1001,Toho,1853749
1002,,5555266
1003,,27787885
1004,Gorky Film Studio,14930873
1005,United Artists Corporation,2267635
1006,Metro-Goldwyn-Mayer,177740
1007,National Film Board of Canada,8812501
1008,CCC Film,23666656
1009,CCC Film,23666672
1010,Toho,235331
1011,Woodfall Film Productions,4429858
1012,Columbia Pictures,161882
1013,,18205118
1014,,19232246
1015,Monogram Pictures,1766476
1016,,1765701
1017,SF Studios,667945
1018,,9944484
1019,Constantin Film,31557
1020,Barrandov Studios,10163440
1021,Paramount Pictures,98503
1022,,2957732
1023,20th Century Studios,1026452
1024,Metro-Goldwyn-Mayer,448385
1025,,6788669
1026,,5205275
1027,,1364070
1028,20th Century Studios,842974
1029,,905013
1030,20th Century Studios,98508
1031,Columbia Pictures,4836350
1032,,3586028
1033,Mosfilm,1411169
1034,,3803362
1035,,1627058
1036,Universal Pictures,1556135
1037,Toho,11992
1038,Daiei Film,3632060
1039,,9753495
1040,Hammer Film Productions,570428
1041,Hammer Film Productions,1829448
1042,Hammer Film Productions,2091800
1043,Nikkatsu,2292441
1044,,246355
1045,Columbia Pictures,19841320
1046,,6640178
1047,Paramount Pictures,1346469
1048,,19202878
1049,,6180798
1050,Filmways,1844967
1051,The Walt Disney Company,12127937
1052,,3912186
1053,,8545243
1054,,1769928
1055,United Artists Corporation,1769626
1056,Metro-Goldwyn-Mayer,1770490
1057,Warner Bros.,161897
1058,The Walt Disney Company,680006
1059,Lawrence Turman,29942
1060,Barrandov Studios,21378709
1061,Warner Bros.,68245
1062,Eon Productions,5078515
1063,Universal Pictures,711970
1064,Columbia Pictures,2461592
1065,Janus Films,917524
1066,,21379138
1067,Metro-Goldwyn-Mayer,309070
1068,,11612413
1069,,844315
1070,The Mirisch Company,1715414
1071,20th Century Studios,685440
1072,,919013
1073,Warner Bros.,19755481
1074,,4237901
1075,,1353086
1076,Fida Cinematografica,2046252
1077,Les films du losange,5216381
1078,,2885119
1079,,3381142
1080,,24335425
1081,,6872687
1082,Toho,11993
1083,,11127037
1084,Kadokawa Pictures,3639599
1085,Nikkatsu,475482
1086,,11257210
1087,,2917185
1088,Hal Wallis Productions,8138535
1089,Columbia Pictures,27361586
1090,Universal Pictures,2974264
1091,,434542
1092,,33844079
1093,Columbia Pictures,6181138
1094,Columbia Pictures,182737
1095,Levy-Gardner-Laven,1776465
1096,Metro-Goldwyn-Mayer,1774709
1097,Oakhurst Productions,2421596
1098,Toei Animation,264103
1099,20th Century Studios,18618306
1100,,161901
1101,,76030
