,imdbid,year,rating,id,title,WikiID
0,3155794,1874,0,9602,Passage de Venus,47863608
1,14495706,1877,0,9804,La Rosace Magique,385718
2,2221420,1878,0,9603,Sallie Gardner at a Gallop,26044155
3,12592084,1878,0,9806,Le singe musicien,385718
4,7816420,1881,0,9816,Athlete Swinging a Pick,60115
5,5459794,1883,0,9831,Buffalo Running,69332484
6,8588366,1885,0,9832,L&#39;homme machine,4860524
7,2075247,1887,0,9614,Man Walking Around the Corner,14360688
8,8133192,1887,0,9836,Cockatoo Flying,38298968
9,7411790,1887,0,9837,Child Carrying Flowers to Woman,100970
10,7541160,1887,0,9838,Jumping Over a Man&#39;s Back-Leapfrog,4430
11,7754902,1887,0,9841,Man Riding Jumping Horse,645396
12,8361552,1887,0,9902,Baboon Climbing a Pole,1124057
13,0392728,1888,0,8040,Roundhay Garden Scene,1082508
14,1758563,1888,0,9615,Accordion Player,1082482
15,0343112,1888,0,9616,Traffic Crossing Leeds Bridge,336678
16,3274100,1888,0,9675,Pferd und Reiter Springen uber ein Hindernis,1425653
17,2116853,1888,0,9947,Brighton Street Scene,919757
18,0466876,1889,0,9619,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",12170539
19,2116898,1889,0,9945,Hyde Park Corner,12170539
20,0361921,1890,0,9617,"Monkeyshines, No. 1",6431996
21,0416046,1890,0,9618,"Monkeyshines, No. 2",6431996
22,1202028,1890,0,9621,London&#39;s Trafalgar Square,17867
23,0416047,1890,0,9678,"Monkeyshines, No. 3",6431996
24,5285442,1890,0,9946,Mosquinha,1425830
25,2116968,1890,0,9944,"Traffic in King&#39;s Road, Chelsea",40281028
26,0241373,1891,0,9626,Dickson Greeting,644824
27,0241715,1891,0,9628,Men Boxing,32175981
28,0241763,1891,0,9629,Newark Athlete,27773121
29,0241393,1891,0,9792,"Duncan and Another, Blacksmith Shop",294983
30,0241392,1891,0,9793,Duncan Smoking,294983
31,0241394,1891,0,9794,Duncan or Devonald with Muslin Cloud,294983
32,0241735,1891,0,9795,"Monkey and Another, Boxing",294983
33,3201916,1891,0,9800,Je vous aime,294983
